,Choose your track,1- What is your current level expertise in computer programming?,2- How often do you code or work on tech related projects in your free time?,3- How often do you keep up with tech news and trends?,4- Were you willing to learn and work with programming languages?,"5-  Was your choice based on enjoying working with visual elements, such as layout and design?","7- Did you have interest in analyzing and studying user's behavior , needs and challenges?",8- Did you have a strong background in mathematics and enjoyed solving complex mathematical problems?,9-Did you enjoy working with data to solve real world problems?,10- Were you interested in data research and analysis?,11- Were you passionate about data analysis and deriving insights from data sets?,12- Did you have interest in using algorithms that can learn and improve from data?,13- Were you interested in server-side programming and building the backbone of applications?,14- Did you have interest in creating innovative and creative software?,15- Was you choice based on using mobile apps frequently and having ideas for new ones?,16- Were you concerned about the security of digital systems and data?,"17- Did you enjoy learning about encryption, firewalls and network protection",18- Did you enjoy creative problem-solving and design thinking?,6- Did you have interest creating responsive and interactive web pages
,Machine Learning,Beginner,Monthly,Never,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Mobile applications,Expert,Daily,Monthly,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Cyber Security,Expert,Never,Weekly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Back-end,Beginner,Never,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,UI/UX,Intermediate,Monthly,Daily,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,UI/UX,Expert,Rarely,Weekly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Front-end,Beginner,Weekly,Monthly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Data Science,Expert,Daily,Monthly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Mobile applications,Beginner,Daily,Weekly,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Back-end,Beginner,Monthly,Never,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Back-end,Beginner,Weekly,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Cyber Security,Beginner,Rarely,Daily,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Machine Learning,Beginner,Monthly,Daily,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Mobile applications,Expert,Weekly,Never,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Beginner,Rarely,Rarely,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Mobile applications,Intermediate,Never,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Data Science,Beginner,Never,Never,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Front-end,Expert,Monthly,Weekly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,UI/UX,Intermediate,Rarely,Rarely,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Intermediate,Daily,Monthly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Front-end,Intermediate,Never,Never,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Machine Learning,Beginner,Weekly,Never,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Data Science,Expert,Weekly,Daily,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Back-end,Expert,Monthly,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Cyber Security,Intermediate,Weekly,Never,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,UI/UX,Expert,Rarely,Rarely,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Expert,Rarely,Monthly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Expert,Daily,Monthly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Mobile applications,Expert,Rarely,Monthly,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Machine Learning,Beginner,Daily,Daily,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Back-end,Expert,Never,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Data Science,Beginner,Weekly,Monthly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Front-end,Expert,Rarely,Daily,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Machine Learning,Beginner,Monthly,Rarely,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Mobile applications,Intermediate,Monthly,Weekly,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Machine Learning,Intermediate,Weekly,Daily,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Cyber Security,Expert,Rarely,Rarely,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,UI/UX,Expert,Never,Weekly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,UI/UX,Beginner,Rarely,Monthly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Front-end,Beginner,Rarely,Rarely,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Data Science,Intermediate,Rarely,Monthly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,UI/UX,Expert,Rarely,Monthly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Intermediate,Never,Weekly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Back-end,Beginner,Weekly,Never,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Cyber Security,Intermediate,Weekly,Monthly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Back-end,Expert,Never,Never,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Intermediate,Weekly,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Data Science,Intermediate,Rarely,Daily,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Beginner,Daily,Weekly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Mobile applications,Beginner,Weekly,Weekly,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Mobile applications,Intermediate,Daily,Monthly,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Expert,Monthly,Rarely,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,UI/UX,Intermediate,Never,Monthly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Machine Learning,Beginner,Rarely,Monthly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Front-end,Beginner,Never,Monthly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Front-end,Expert,Weekly,Never,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Beginner,Daily,Never,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,UI/UX,Intermediate,Rarely,Daily,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Expert,Monthly,Never,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Cyber Security,Intermediate,Daily,Weekly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Beginner,Daily,Weekly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Data Science,Beginner,Never,Rarely,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Beginner,Never,Never,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Back-end,Intermediate,Monthly,Weekly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Cyber Security,Intermediate,Weekly,Daily,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Mobile applications,Expert,Never,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Machine Learning,Beginner,Monthly,Never,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Data Science,Beginner,Rarely,Monthly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,UI/UX,Expert,Daily,Monthly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Machine Learning,Expert,Weekly,Weekly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Front-end,Intermediate,Rarely,Rarely,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,UI/UX,Beginner,Monthly,Weekly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,UI/UX,Expert,Rarely,Weekly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Beginner,Weekly,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Back-end,Intermediate,Daily,Weekly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,UI/UX,Intermediate,Never,Never,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Intermediate,Weekly,Never,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Expert,Weekly,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,UI/UX,Beginner,Weekly,Never,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,UI/UX,Intermediate,Weekly,Never,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,UI/UX,Intermediate,Daily,Monthly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,UI/UX,Intermediate,Daily,Weekly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Front-end,Beginner,Daily,Rarely,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,UI/UX,Beginner,Monthly,Daily,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Beginner,Monthly,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Back-end,Intermediate,Weekly,Monthly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Back-end,Beginner,Never,Monthly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Cyber Security,Beginner,Never,Rarely,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Back-end,Intermediate,Rarely,Never,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Back-end,Expert,Never,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Intermediate,Daily,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Mobile applications,Beginner,Never,Monthly,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Mobile applications,Intermediate,Weekly,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Data Science,Beginner,Rarely,Weekly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Mobile applications,Beginner,Never,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Mobile applications,Expert,Daily,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Beginner,Monthly,Daily,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Front-end,Beginner,Monthly,Weekly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Front-end,Intermediate,Never,Weekly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Front-end,Expert,Daily,Daily,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Front-end,Expert,Weekly,Daily,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Machine Learning,Expert,Monthly,Weekly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Cyber Security,Intermediate,Rarely,Weekly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Cyber Security,Intermediate,Never,Daily,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Cyber Security,Beginner,Daily,Never,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Cyber Security,Intermediate,Never,Monthly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Cyber Security,Intermediate,Weekly,Never,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,UI/UX,Intermediate,Rarely,Weekly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Data Science,Expert,Never,Daily,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Data Science,Intermediate,Never,Weekly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Data Science,Expert,Never,Rarely,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Data Science,Beginner,Never,Monthly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Data Science,Beginner,Monthly,Never,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Back-end,Intermediate,Weekly,Never,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Machine Learning,Beginner,Daily,Never,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Machine Learning,Expert,Monthly,Rarely,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Machine Learning,Expert,Weekly,Weekly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Machine Learning,Expert,Monthly,Weekly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Mobile applications,Expert,Monthly,Weekly,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,UI/UX,Beginner,Monthly,Weekly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Machine Learning,Intermediate,Never,Weekly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Beginner,Never,Daily,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,UI/UX,Expert,Weekly,Daily,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,UI/UX,Expert,Daily,Daily,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Front-end,Expert,Rarely,Monthly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Intermediate,Weekly,Monthly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,UI/UX,Intermediate,Weekly,Weekly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Beginner,Daily,Never,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Back-end,Expert,Rarely,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Back-end,Expert,Never,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Cyber Security,Intermediate,Rarely,Daily,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Mobile applications,Intermediate,Rarely,Never,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Back-end,Intermediate,Monthly,Weekly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Beginner,Daily,Never,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Mobile applications,Beginner,Weekly,Never,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Data Science,Intermediate,Never,Rarely,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Mobile applications,Expert,Rarely,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Expert,Rarely,Never,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Front-end,Intermediate,Never,Monthly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Mobile applications,Beginner,Daily,Never,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Expert,Monthly,Daily,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Machine Learning,Expert,Never,Weekly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Front-end,Beginner,Rarely,Rarely,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Expert,Weekly,Rarely,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Front-end,Beginner,Never,Daily,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Intermediate,Never,Never,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Cyber Security,Beginner,Monthly,Monthly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,UI/UX,Expert,Daily,Daily,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Data Science,Intermediate,Daily,Never,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Cyber Security,Beginner,Monthly,Rarely,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Cyber Security,Intermediate,Daily,Monthly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Intermediate,Never,Rarely,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Data Science,Beginner,Rarely,Daily,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Back-end,Expert,Weekly,Weekly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Data Science,Expert,Weekly,Daily,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Beginner,Weekly,Monthly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Data Science,Expert,Weekly,Rarely,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Expert,Weekly,Daily,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Mobile applications,Beginner,Weekly,Weekly,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,UI/UX,Beginner,Daily,Weekly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Machine Learning,Intermediate,Never,Daily,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Machine Learning,Expert,Never,Weekly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Machine Learning,Expert,Weekly,Daily,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Front-end,Intermediate,Monthly,Monthly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,UI/UX,Expert,Weekly,Daily,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,UI/UX,Expert,Never,Daily,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Intermediate,Weekly,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,UI/UX,Beginner,Weekly,Never,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,UI/UX,Beginner,Daily,Rarely,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Intermediate,Daily,Rarely,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Back-end,Beginner,Never,Weekly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Back-end,Beginner,Rarely,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Beginner,Monthly,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Back-end,Beginner,Rarely,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Data Science,Intermediate,Never,Rarely,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Back-end,Expert,Daily,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Beginner,Never,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Expert,Monthly,Daily,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Mobile applications,Intermediate,Monthly,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Mobile applications,Intermediate,Weekly,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Machine Learning,Beginner,Daily,Never,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Mobile applications,Intermediate,Rarely,Never,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Intermediate,Rarely,Daily,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Front-end,Expert,Daily,Rarely,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Intermediate,Rarely,Monthly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Front-end,Expert,Weekly,Monthly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,UI/UX,Intermediate,Weekly,Rarely,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Front-end,Intermediate,Rarely,Weekly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Intermediate,Daily,Daily,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Expert,Monthly,Never,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Cyber Security,Intermediate,Monthly,Daily,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Cyber Security,Intermediate,Rarely,Rarely,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Back-end,Beginner,Monthly,Weekly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Cyber Security,Expert,Rarely,Monthly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Expert,Rarely,Weekly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Intermediate,Rarely,Daily,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Data Science,Beginner,Weekly,Never,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Data Science,Beginner,Monthly,Daily,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Data Science,Beginner,Rarely,Rarely,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Mobile applications,Beginner,Weekly,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Machine Learning,Intermediate,Monthly,Rarely,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Expert,Never,Weekly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Machine Learning,Expert,Weekly,Monthly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Machine Learning,Beginner,Never,Weekly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Front-end,Beginner,Never,Daily,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Machine Learning,Beginner,Weekly,Never,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Beginner,Never,Weekly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Intermediate,Daily,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,UI/UX,Expert,Weekly,Daily,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,UI/UX,Beginner,Monthly,Monthly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,UI/UX,Beginner,Daily,Weekly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Expert,Weekly,Monthly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Back-end,Beginner,Rarely,Weekly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Expert,Rarely,Weekly,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Back-end,Intermediate,Rarely,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Back-end,Expert,Daily,Never,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Data Science,Beginner,Weekly,Monthly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Back-end,Expert,Rarely,Never,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Beginner,Weekly,Never,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Intermediate,Weekly,Weekly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Mobile applications,Intermediate,Monthly,Monthly,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Mobile applications,Intermediate,Monthly,Never,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Machine Learning,Beginner,Rarely,Monthly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Front-end,Expert,Never,Daily,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Mobile applications,Beginner,Daily,Weekly,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Cyber Security,Intermediate,Weekly,Never,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Front-end,Expert,Daily,Monthly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
